               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037146,            0.017126,              0.0434,               0.235,             0.56863,              0.1931,              0.1427,           0.0082655,           0.0035321,            0.019657,            0.070059,           0.0033268,           0.0033268
                   1,            0.024862,            0.010874,            0.039665,             0.29694,             0.61424,              0.2393,             0.13985,            0.011746,            0.003014,             0.01809,            0.039619,           0.0062206,           0.0062206
                   2,            0.022131,           0.0098191,            0.037367,             0.34266,             0.52921,             0.31804,             0.24512,           0.0064566,           0.0031253,            0.016498,           0.0087398,           0.0086743,           0.0086743
                   3,            0.018944,            0.009634,            0.036277,             0.34787,             0.67534,             0.36663,             0.30281,           0.0054704,           0.0030241,            0.016271,             0.00802,             0.00802,             0.00802
                   4,            0.017578,           0.0091721,            0.035136,             0.46467,             0.55032,             0.47556,             0.40462,           0.0047505,           0.0031227,            0.014348,             0.00802,             0.00802,             0.00802
                   5,             0.01585,           0.0088047,            0.033253,             0.77276,             0.49829,             0.54011,             0.45594,           0.0045541,           0.0027373,            0.013366,             0.00736,             0.00736,             0.00736
                   6,            0.015329,            0.008652,             0.03338,             0.54562,             0.68021,             0.61788,             0.53166,           0.0043584,           0.0026954,            0.011938,              0.0067,              0.0067,              0.0067
                   7,            0.014287,           0.0084218,            0.031082,             0.51213,             0.73199,              0.6528,             0.56263,           0.0043533,           0.0026084,            0.011561,             0.00604,             0.00604,             0.00604
                   8,            0.014307,           0.0082306,            0.030184,             0.52221,             0.76484,             0.69294,             0.60509,           0.0040011,           0.0026489,            0.010835,             0.00538,             0.00538,             0.00538
                   9,            0.012931,           0.0080019,            0.028366,             0.57063,             0.73659,             0.70003,             0.61962,           0.0038817,           0.0025169,            0.010638,             0.00472,             0.00472,             0.00472
                  10,            0.012432,           0.0078021,             0.02761,             0.58869,             0.77225,             0.73341,             0.65401,           0.0036268,           0.0023905,           0.0098125,             0.00406,             0.00406,             0.00406
                  11,            0.012349,           0.0077246,            0.027343,             0.61191,              0.7611,              0.7349,             0.66104,           0.0035114,           0.0023724,           0.0096046,              0.0034,              0.0034,              0.0034
                  12,            0.011388,           0.0074648,            0.025781,             0.69529,             0.77179,             0.78251,             0.70699,           0.0034168,           0.0022724,           0.0084957,             0.00274,             0.00274,             0.00274
                  13,            0.011049,           0.0073075,            0.024638,             0.68605,             0.79511,             0.79544,             0.72236,           0.0033603,           0.0023151,           0.0080463,             0.00208,             0.00208,             0.00208
                  14,            0.010225,           0.0072149,            0.023202,             0.71223,             0.79635,             0.80965,             0.73476,           0.0032738,           0.0022647,           0.0075582,             0.00142,             0.00142,             0.00142
