test,class,boxy_2,boxx_2,boxy_1,boxx_1,file_name,class_name
FALSE,1,717,853,7,112,000001.jpg,AM General Hummer SUV 2000
FALSE,1,202,441,24,48,000002.jpg,AM General Hummer SUV 2000
FALSE,1,180,277,4,7,000003.jpg,AM General Hummer SUV 2000
FALSE,1,150,197,50,33,000004.jpg,AM General Hummer SUV 2000
FALSE,1,58,83,8,5,000005.jpg,AM General Hummer SUV 2000
FALSE,1,110,250,6,10,000006.jpg,AM General Hummer SUV 2000
FALSE,1,176,394,1,56,000007.jpg,AM General Hummer SUV 2000
FALSE,1,83,113,13,1,000008.jpg,AM General Hummer SUV 2000
FALSE,1,272,271,111,15,000009.jpg,AM General Hummer SUV 2000
FALSE,1,107,148,18,14,000010.jpg,AM General Hummer SUV 2000
FALSE,1,59,91,8,5,000011.jpg,AM General Hummer SUV 2000
FALSE,1,86,157,18,29,000012.jpg,AM General Hummer SUV 2000
FALSE,1,179,300,1,1,000013.jpg,AM General Hummer SUV 2000
FALSE,1,103,152,1,9,000014.jpg,AM General Hummer SUV 2000
FALSE,1,63,94,15,4,000015.jpg,AM General Hummer SUV 2000
FALSE,1,71,117,16,12,000016.jpg,AM General Hummer SUV 2000
FALSE,1,89,160,5,1,000017.jpg,AM General Hummer SUV 2000
FALSE,1,428,661,84,46,000018.jpg,AM General Hummer SUV 2000
FALSE,1,252,371,81,86,000019.jpg,AM General Hummer SUV 2000
FALSE,1,418,677,32,26,000020.jpg,AM General Hummer SUV 2000
FALSE,1,396,587,127,50,000021.jpg,AM General Hummer SUV 2000
FALSE,1,89,124,9,6,000022.jpg,AM General Hummer SUV 2000
FALSE,1,507,751,25,52,000023.jpg,AM General Hummer SUV 2000
FALSE,1,98,132,23,3,000024.jpg,AM General Hummer SUV 2000
FALSE,1,393,593,76,60,000025.jpg,AM General Hummer SUV 2000
FALSE,1,316,492,18,21,000026.jpg,AM General Hummer SUV 2000
FALSE,1,266,490,31,11,000027.jpg,AM General Hummer SUV 2000
FALSE,1,86,135,3,8,000028.jpg,AM General Hummer SUV 2000
FALSE,1,199,331,65,30,000029.jpg,AM General Hummer SUV 2000
FALSE,1,58,93,14,5,000030.jpg,AM General Hummer SUV 2000
FALSE,1,1421,1845,645,125,000031.jpg,AM General Hummer SUV 2000
FALSE,1,283,385,48,20,000032.jpg,AM General Hummer SUV 2000
FALSE,1,426,570,73,51,000033.jpg,AM General Hummer SUV 2000
FALSE,1,1198,1537,469,79,000034.jpg,AM General Hummer SUV 2000
FALSE,1,190,328,18,18,000035.jpg,AM General Hummer SUV 2000
FALSE,1,1253,2021,235,13,000036.jpg,AM General Hummer SUV 2000
FALSE,1,88,123,20,6,000037.jpg,AM General Hummer SUV 2000
FALSE,1,157,283,25,26,000038.jpg,AM General Hummer SUV 2000
FALSE,1,376,458,98,61,000039.jpg,AM General Hummer SUV 2000
FALSE,1,683,907,213,111,000040.jpg,AM General Hummer SUV 2000
FALSE,1,658,901,214,178,000041.jpg,AM General Hummer SUV 2000
FALSE,1,368,490,14,9,000042.jpg,AM General Hummer SUV 2000
FALSE,1,302,663,48,28,000043.jpg,AM General Hummer SUV 2000
FALSE,1,88,96,9,4,000044.jpg,AM General Hummer SUV 2000
FALSE,1,68,94,7,6,000045.jpg,AM General Hummer SUV 2000
TRUE,1,169,268,16,14,000046.jpg,AM General Hummer SUV 2000
TRUE,1,61,89,18,10,000047.jpg,AM General Hummer SUV 2000
TRUE,1,190,365,54,111,000048.jpg,AM General Hummer SUV 2000
TRUE,1,276,479,33,9,000049.jpg,AM General Hummer SUV 2000
TRUE,1,41,93,3,9,000050.jpg,AM General Hummer SUV 2000
TRUE,1,76,128,10,15,000051.jpg,AM General Hummer SUV 2000
TRUE,1,535,796,60,11,000052.jpg,AM General Hummer SUV 2000
TRUE,1,399,585,93,92,000053.jpg,AM General Hummer SUV 2000
TRUE,1,61,87,9,5,000054.jpg,AM General Hummer SUV 2000
TRUE,1,69,85,5,8,000055.jpg,AM General Hummer SUV 2000
TRUE,1,341,439,94,70,000056.jpg,AM General Hummer SUV 2000
TRUE,1,348,552,6,87,000057.jpg,AM General Hummer SUV 2000
TRUE,1,80,118,14,28,000058.jpg,AM General Hummer SUV 2000
TRUE,1,80,106,8,11,000059.jpg,AM General Hummer SUV 2000
TRUE,1,413,544,108,53,000060.jpg,AM General Hummer SUV 2000
TRUE,1,160,270,12,31,000061.jpg,AM General Hummer SUV 2000
TRUE,1,109,145,13,4,000062.jpg,AM General Hummer SUV 2000
TRUE,1,83,135,12,8,000063.jpg,AM General Hummer SUV 2000
TRUE,1,93,135,16,11,000064.jpg,AM General Hummer SUV 2000
TRUE,1,274,415,117,28,000065.jpg,AM General Hummer SUV 2000
TRUE,1,414,729,39,45,000066.jpg,AM General Hummer SUV 2000
TRUE,1,480,639,3,3,000067.jpg,AM General Hummer SUV 2000
TRUE,1,93,133,30,18,000068.jpg,AM General Hummer SUV 2000
TRUE,1,396,721,141,24,000069.jpg,AM General Hummer SUV 2000
TRUE,1,119,226,20,31,000070.jpg,AM General Hummer SUV 2000
TRUE,1,135,240,23,17,000071.jpg,AM General Hummer SUV 2000
TRUE,1,73,137,20,6,000072.jpg,AM General Hummer SUV 2000
TRUE,1,642,920,177,111,000073.jpg,AM General Hummer SUV 2000
TRUE,1,316,487,69,32,000074.jpg,AM General Hummer SUV 2000
TRUE,1,57,102,7,2,000075.jpg,AM General Hummer SUV 2000
TRUE,1,504,763,62,26,000076.jpg,AM General Hummer SUV 2000
TRUE,1,469,623,115,46,000077.jpg,AM General Hummer SUV 2000
TRUE,1,421,589,123,25,000078.jpg,AM General Hummer SUV 2000
TRUE,1,425,654,79,20,000079.jpg,AM General Hummer SUV 2000
TRUE,1,114,160,14,5,000080.jpg,AM General Hummer SUV 2000
TRUE,1,441,718,73,62,000081.jpg,AM General Hummer SUV 2000
TRUE,1,87,136,4,5,000082.jpg,AM General Hummer SUV 2000
TRUE,1,213,283,98,67,000083.jpg,AM General Hummer SUV 2000
TRUE,1,237,354,60,40,000084.jpg,AM General Hummer SUV 2000
TRUE,1,78,113,18,12,000085.jpg,AM General Hummer SUV 2000
TRUE,1,480,774,72,26,000086.jpg,AM General Hummer SUV 2000
TRUE,1,199,368,1,24,000087.jpg,AM General Hummer SUV 2000
TRUE,1,120,160,13,2,000088.jpg,AM General Hummer SUV 2000
TRUE,1,60,84,13,11,000089.jpg,AM General Hummer SUV 2000
FALSE,2,1126,1805,441,434,000090.jpg,Acura RL Sedan 2012
FALSE,2,608,842,183,104,000091.jpg,Acura RL Sedan 2012
FALSE,2,444,716,133,7,000092.jpg,Acura RL Sedan 2012
FALSE,2,213,444,29,8,000093.jpg,Acura RL Sedan 2012
FALSE,2,444,877,102,150,000094.jpg,Acura RL Sedan 2012
FALSE,2,1149,1954,416,139,000095.jpg,Acura RL Sedan 2012
FALSE,2,129,288,24,2,000096.jpg,Acura RL Sedan 2012
FALSE,2,324,817,63,115,000097.jpg,Acura RL Sedan 2012
FALSE,2,376,573,189,84,000098.jpg,Acura RL Sedan 2012
FALSE,2,532,769,256,13,000099.jpg,Acura RL Sedan 2012
FALSE,2,215,430,16,30,000100.jpg,Acura RL Sedan 2012
FALSE,2,394,438,32,32,000101.jpg,Acura RL Sedan 2012
FALSE,2,269,445,115,16,000102.jpg,Acura RL Sedan 2012
FALSE,2,139,270,53,34,000103.jpg,Acura RL Sedan 2012
FALSE,2,452,753,177,179,000104.jpg,Acura RL Sedan 2012
FALSE,2,317,440,93,68,000105.jpg,Acura RL Sedan 2012
FALSE,2,431,690,172,139,000106.jpg,Acura RL Sedan 2012
FALSE,2,425,614,166,60,000107.jpg,Acura RL Sedan 2012
FALSE,2,150,294,37,8,000108.jpg,Acura RL Sedan 2012
FALSE,2,174,261,40,36,000109.jpg,Acura RL Sedan 2012
FALSE,2,346,839,10,130,000110.jpg,Acura RL Sedan 2012
FALSE,2,349,619,134,23,000111.jpg,Acura RL Sedan 2012
FALSE,2,514,745,22,45,000112.jpg,Acura RL Sedan 2012
FALSE,2,126,242,34,10,000113.jpg,Acura RL Sedan 2012
FALSE,2,267,445,63,18,000114.jpg,Acura RL Sedan 2012
FALSE,2,368,627,95,56,000115.jpg,Acura RL Sedan 2012
FALSE,2,401,674,163,73,000116.jpg,Acura RL Sedan 2012
FALSE,2,326,455,49,97,000117.jpg,Acura RL Sedan 2012
FALSE,2,253,426,68,45,000118.jpg,Acura RL Sedan 2012
FALSE,2,300,449,16,20,000119.jpg,Acura RL Sedan 2012
FALSE,2,241,420,92,38,000120.jpg,Acura RL Sedan 2012
FALSE,2,367,603,141,18,000121.jpg,Acura RL Sedan 2012
TRUE,2,434,675,147,108,000122.jpg,Acura RL Sedan 2012
TRUE,2,324,731,43,85,000123.jpg,Acura RL Sedan 2012
TRUE,2,447,909,97,208,000124.jpg,Acura RL Sedan 2012
TRUE,2,405,588,55,24,000125.jpg,Acura RL Sedan 2012
TRUE,2,400,618,82,27,000126.jpg,Acura RL Sedan 2012
TRUE,2,336,888,7,97,000127.jpg,Acura RL Sedan 2012
TRUE,2,277,427,38,24,000128.jpg,Acura RL Sedan 2012
TRUE,2,196,269,11,30,000129.jpg,Acura RL Sedan 2012
TRUE,2,289,441,51,51,000130.jpg,Acura RL Sedan 2012
TRUE,2,347,459,151,186,000131.jpg,Acura RL Sedan 2012
TRUE,2,448,638,114,56,000132.jpg,Acura RL Sedan 2012
TRUE,2,171,292,33,12,000133.jpg,Acura RL Sedan 2012
TRUE,2,203,300,104,2,000134.jpg,Acura RL Sedan 2012
TRUE,2,362,565,96,32,000135.jpg,Acura RL Sedan 2012
TRUE,2,177,279,55,29,000136.jpg,Acura RL Sedan 2012
TRUE,2,299,536,98,14,000137.jpg,Acura RL Sedan 2012
TRUE,2,306,516,84,73,000138.jpg,Acura RL Sedan 2012
TRUE,2,277,451,103,42,000139.jpg,Acura RL Sedan 2012
TRUE,2,337,449,161,41,000140.jpg,Acura RL Sedan 2012
TRUE,2,458,580,111,76,000141.jpg,Acura RL Sedan 2012
TRUE,2,247,460,90,51,000142.jpg,Acura RL Sedan 2012
TRUE,2,602,861,32,129,000143.jpg,Acura RL Sedan 2012
TRUE,2,432,691,82,13,000144.jpg,Acura RL Sedan 2012
TRUE,2,417,583,165,13,000145.jpg,Acura RL Sedan 2012
TRUE,2,217,397,27,28,000146.jpg,Acura RL Sedan 2012
TRUE,2,967,1345,492,214,000147.jpg,Acura RL Sedan 2012
TRUE,2,674,1085,322,115,000148.jpg,Acura RL Sedan 2012
TRUE,2,614,899,213,129,000149.jpg,Acura RL Sedan 2012
TRUE,2,268,470,87,11,000150.jpg,Acura RL Sedan 2012
TRUE,2,190,292,30,37,000151.jpg,Acura RL Sedan 2012
TRUE,2,472,713,245,85,000152.jpg,Acura RL Sedan 2012
TRUE,2,350,619,35,30,000153.jpg,Acura RL Sedan 2012
FALSE,3,168,271,75,29,000154.jpg,Acura TL Sedan 2012
FALSE,3,153,250,35,13,000155.jpg,Acura TL Sedan 2012
FALSE,3,158,254,24,10,000156.jpg,Acura TL Sedan 2012
FALSE,3,383,614,86,10,000157.jpg,Acura TL Sedan 2012
FALSE,3,587,868,116,36,000158.jpg,Acura TL Sedan 2012
FALSE,3,569,881,236,57,000159.jpg,Acura TL Sedan 2012
FALSE,3,426,471,125,147,000160.jpg,Acura TL Sedan 2012
FALSE,3,307,478,84,18,000161.jpg,Acura TL Sedan 2012
FALSE,3,371,605,100,47,000162.jpg,Acura TL Sedan 2012
FALSE,3,329,537,124,131,000163.jpg,Acura TL Sedan 2012
FALSE,3,346,576,115,33,000164.jpg,Acura TL Sedan 2012
FALSE,3,429,706,201,108,000165.jpg,Acura TL Sedan 2012
FALSE,3,237,511,41,48,000166.jpg,Acura TL Sedan 2012
FALSE,3,425,686,93,83,000167.jpg,Acura TL Sedan 2012
FALSE,3,342,582,77,37,000168.jpg,Acura TL Sedan 2012
FALSE,3,150,277,55,25,000169.jpg,Acura TL Sedan 2012
FALSE,3,440,787,115,13,000170.jpg,Acura TL Sedan 2012
FALSE,3,320,563,95,55,000171.jpg,Acura TL Sedan 2012
FALSE,3,247,487,46,52,000172.jpg,Acura TL Sedan 2012
FALSE,3,373,588,91,60,000173.jpg,Acura TL Sedan 2012
FALSE,3,184,250,80,8,000174.jpg,Acura TL Sedan 2012
FALSE,3,369,598,154,47,000175.jpg,Acura TL Sedan 2012
FALSE,3,288,477,49,26,000176.jpg,Acura TL Sedan 2012
FALSE,3,542,800,174,189,000177.jpg,Acura TL Sedan 2012
FALSE,3,629,1066,202,147,000178.jpg,Acura TL Sedan 2012
FALSE,3,331,448,12,35,000179.jpg,Acura TL Sedan 2012
FALSE,3,344,543,107,54,000180.jpg,Acura TL Sedan 2012
FALSE,3,339,619,66,1,000181.jpg,Acura TL Sedan 2012
